taxon,life form,habitat,habit,clonality,perennial organ,plant height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf defence,leaf min width [cm],leaf max width [cm],leaf min length [cm],leaf max length [cm],inflorescence arrangement,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,petal fusion,petal colour,reproduction architecture,reproduction system,stamen count,stamen number,stamen arrangement,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,dispersule min width [cm],dispersule max width [cm],dispersule min length [cm],dispersule max length [cm],dispersal mode,dispersion axillary,seed colour,seeds max per fruit,seeds min per fruit,seed min width [mm],seed max width [mm],seed min length [mm],seed max length [mm],max seed volume,ploidy,ploidy level,root system,root depth type,root depth [cm],sources
Scrophularia auriculata,perennial;hemicryptophyte,,Stem erect ,Little or no vegetative spread;hypogeogeneous stems;Rhizome,stems;Stem;Rhizome,1.0;0.525; 0.05;0.05;1,glabrous,glabrous,,,,,simple,obtuse,,crenate,soft hairs,,,,,panicle;cymes,,,,,,brown-purple,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 6, 'tabular': 12}, 'fna': {'tabular': 0}}"
Scutellaria galericulata,perennial;perennials;hemicryptophyte,,Stem erect ,Rhizome shortly creeping;hypogeogeneous stems;Rhizome,Stems;Rhizome,0.15;0.15-0.5;0.325; 0.25; 0.15;0.5,pubescent;glabrescent;soft hairs,soft hairs,,,,,lanceolate;simple;ovate;oblong;obtuse,subacute;ovate;obtuse,cordate;rounded,crenate;ovate,soft hairs,2,5,2,5,raceme,,,,,,blue,,,,hermaphrodite,4,,,,,,insect,,,,,,,,,,domestic animal;water;   shaken fresh water;   standing fresh water,hairs,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 12}, 'fna': {'tabular': 0}}"
Scutellaria minor,perennial;hemicryptophyte,Grassland and tall forb habitats,Stem erect ,rooting horizontal stems at or above soil surface;Rhizome shortly creeping;creeping;Rhizome,Stems;Rhizome,0.125; 0.1; 0.175;0.15;0.1,glabrescent;glabrous,glabrous,,,,,simple;ovate;obtuse,acute;subacute;ovate;obtuse,cordate;rounded,toothed;entire;ovate,soft hairs,1,3,1,3,raceme,,,,,,pale pink-purple,,,,hermaphrodite,4,,,,,,insect,,,,,,,,,,domestic animal;   shaken fresh water,hairs,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 12}, 'fna': {'tabular': 0}}"
Sedum anglicum,perennial;evergreen;chamaephyte,,Stem erect ;mats;Stem prostrate ,Extensively creeping and rooting at nodes,stem;stems,0.02-0.05;0.02;0.05;0.035; 0.02,glabrous,glabrous,,,,alternate,simple,obtuse,,entire,glabrous,0.3,0.5,0.3,0.5,,,,,,branches,white,,pink;white,,hermaphrodite,,,,,,,insect,,,,,,,,,,water,,,,,,,,,,,,,,,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 13, 'tabular': 12}, 'fna': {'tabular': 0}}"
Sedum villosum,perennial;annual;chamaephyte;biennial,"Wet places and seepages, streamsides, south-facing slopes",Stem erect ,Little or no vegetative spread,Stem;Stems,0.15;0.1; 0.05;0.05;0.05-0.15,pubescent;hairy;glandular,,,,sessile,alternate;adaxial,elliptic;simple;flattened;flat;oblong;linear;obtuse,obtuse,,entire;elliptic;linear;flat,glandular hairs,0.6;0.14,1.2;0.19,0.6;0.3,1.2;0.8,corymbs,,,5-merous,,branches;branched,pink,,red;pink,,hermaphrodite,,,,,,,insect,,,,,,,,,,   ant;   shaken fresh water,filaments,,,,,,,,,,30,,,,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 15, 'tabular': 10}, 'fna': {'text': 18, 'tabular': 1}}"
Senecio aquaticus,biennial;perennials;strict monocarpic bi-annuals and poly-annuals;hemicryptophyte,Grassland and tall forb habitats,Stem erect ,stoloniferous;Little or no vegetative spread;epigeogeneous stems,stem;stoloniferous;stems,0.25;0.25-0.8;0.8;0.315,soft hairs,soft hairs,,,,lateral;Basal;terminal,oblong;undivided;simple;ovate,ovate;obtuse,,lobed and toothed;ovate,glabrous,,,,,corymbs,,,,,,yellow,,,,gynomonoecious,,,,,,,insect,,,,,,,,,,   ant;water;   standing fresh water;   shaken fresh water;   commerce,pappus,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 10, 'tabular': 12}, 'fna': {'tabular': 0}}"
Senecio jacobaea,perennial;perennials;annuals;hemicryptophyte;biennial;Perennials;strict monocarpic bi-annuals and poly-annuals,"Grassland and tall forb habitats;Disturbed sites, pastures, roadsides, and waste grounds;Perennial calcareous grassland and basic steppes",Stem erect ,stoloniferous;epigeogeneous stems;adventitious buds on roots;Little or no vegetative spread;root-splitters,stoloniferous;stems;taprooted;stem;taproots;Stems,0.8;0.3;0.5;0.3-1.5;1.5,glabrous;furrowed,,,pinnate,,laterals;Basal;lateral;terminal;rosette;basal;distributed;distal,obovate;tapered;spatulate;ovate;compound;pinnate;blunt;oblong;dentate,ovate;obtuse,,lobed and toothed;sinuate;ovate,glabrous;soft hairs,7;5,15;12,7;20,15;30,corymb,,,,,flat,yellow,,,,gynomonoecious,,,,,,,insect,,,,,,,,,,   ant;   rabbit;water;bird;   sheep;   car or other vehicle;   cattle;   horse;   shaken fresh water;   donkey;   clothes and footwear;   commerce,pappus,,,10-100,,,,,,,40,taproots;tap root;taprooted,deep,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 17, 'tabular': 14}, 'fna': {'text': 14, 'tabular': 1}}"
Serratula tinctoria,perennial;perennials;hemicryptophyte,,Stem erect ,hypogeogeneous stems;Little or no vegetative spread;epigeogeneous stems,stem,0.5;0.9;0.1,grooved;glabrous,glabrous,,pinnate,sessile,terminal;basal;lateral,compound;undivided;lanceolate;ovate,acute;ovate,,lobed and toothed;ovate,glabrous;stiff hairs,12,25,12,25,,,,,,,purple,,,,subdioecious,,,,,,,insect,,,,,,,,,,   ant;   commerce;domestic animal;   shaken fresh water,bristle;hairs,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 12}, 'fna': {'tabular': 0}}"
Sesleria albicans,perennial;perennials;hemicryptophyte,Basic and ultra-basic inland cliffs;[Fagus] woodland,Stem erect ;Stem ascending to prostrate ,Tussock forming graminoid;rhizomes;epigeogeneous stems,rhizomes,0.4;0.15;0.1-0.45,,,,,,parallel;basal,keeled;flat;pointed;simple,acute,,entire;flat,,0.2,0.6,20,20,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,   shaken fresh water;   cattle,awn;hairless,,1,1,,,,,,,,fibrous,deep,50.0-100.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 14}, 'fna': {'tabular': 0}}"
Silene acaulis,perennial;chamaephyte,"Arctic and alpine tundra, gravelly, often wet places, rocky ledges;Alpine and subalpine grasslands",cushions;Stem prostrate ;cushion;Stem ascending to prostrate ,root-splitters;Seeds;adventitious buds on roots;Little or no vegetative spread,taproot;stems,0.02;0.028; 0.02; 0.03;0.1;0.02-0.1,glabrous,glabrous,,,sessile,imbricate;basal;crowded,lanceolate;subulate;linear;simple,acute,,entire;linear;scabrous,glabrous;stiff hairs,0.15,0.2,1,1.5,solitary flowers;staminate;pistillate,unisexual;bisexual,,,,,pink,,whitish;pink;white;rose,,trioecious,,,,,,,insect,capsule,,,subcylindrical,,,,,,   shaken fresh water;water,,yellowish;brown,19,10-100,1,1.2,1,1.2,,,24,taproot;tap root,deep,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 9, 'tabular': 16}, 'fna': {'text': 24, 'tabular': 1}}"
Silene maritima,perennial,,cushion,Seeds;Little or no vegetative spread,stem,0.3,pubescent;glabrous,,,,,,linear;elliptic;lanceolate;ovate,ovate,,ciliate;elliptic;linear;ovate,glabrous,,,,,,,,,,,white,,white,,gynomonoecious,,,,,,,,capsule,,,ovoid;recurved,,,,,,,,pink,,,,,,,,,,adventitious,deep,,"{'leda': {'tabular': 0}, 'ecoflora': {'text': 13, 'tabular': 6}, 'fna': {'tabular': 0}}"
Solanum dulcamara,perennial;perennials;phanerophyte,Reedbeds normally without free-standing water,Stem ascending to prostrate ;Lianas and climbers,Extensively creeping and rooting at nodes;rooting horizontal stems at or above soil surface,stems,1.15; 0.3;2.0;0.3;2,pubescent;tomentose;glabrous;soft hairs,soft hairs,,,,,lanceolate;ovate;simple;hastate;acuminate,acuminate;acute;ovate,cordate;hastate;rounded,acuminate;entire;toothed;ovate,soft hairs,8,8,8,8,cymes;umbellate,,,,,branched,purple,,,,hermaphrodite,,,,,,,insect,,,,ovoid;ellipsoid,red,,,,,bird;water;   shaken fresh water;   deer,,,63,10-100,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 16, 'tabular': 14}, 'fna': {'tabular': 0}}"
Solidago virgaurea,perennial;perennials;hemicryptophyte,Woodland fringes and clearings and tall forb habitats;Mixed taiga woodland with [Betula];Tundra;Dry grasslands;Broadleaved deciduous woodland;Coniferous woodland,Stem erect ,Little or no vegetative spread;epigeogeneous stems,stem,0.5;0.75;0.05,pubescent;glabrous;soft hairs,soft hairs,,,,Basal,oblanceolate;tapering;obovate;lanceolate;simple;oblong,acute,,toothed;entire,soft hairs,2,10,2,10,panicle;raceme,,,,,straight;branches,yellow,,,,gynomonoecious,,,,,,,insect,,,,,,,,,,   ant;water;   pig;   car or other vehicle;   shaken fresh water;   commerce,pappus,,35,10-100,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 14}, 'fna': {'tabular': 0}}"
Sorbus aucuparia,perennials;phanerophyte,"Thickets, roadsides, woods, other habitats near towns, scattered in remote natural settings",Stem erect ;Trees;tree,buds;adventitious buds on roots;Buds;seeds;Little or no vegetative spread;Seeds,Stems,15;15.0;15.0; 9.0; 18.0,soft hairs,soft hairs,,pinnate;pinnately,,opposite,oblong;lanceolate;compound;oblanceolate,acute,,toothed,soft hairs,10,25,10;6,25;7.5,corymb,,,5-merous,,,white,,white,,hermaphrodite,16;15,,,two;1/2;3;4,,,insect,berry;pome,,,ovoid;subglobose;globose,scarlet;orange;brown,,,,,bird;water;   marten;   deer;   goat;   pacarana;   shaken fresh water;   fox;   hare,hairs,brown,8,01-Oct,1.5,4.5,1.5,4.5,,,34,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 14}, 'fna': {'text': 18, 'tabular': 1}}"
Sparganium angustifolium,perennial;hydrophyte,"Acid, oligotrophic waters of lakes, ponds, ditches, and streams, usually in shallow waters but to 2.5 m deep","Floating leaves, attached to the substrate ;Submerged, attached to the substrate",Seeds;Rhizome far creeping;hypogeogeneous stems,stems,0.025;2,glabrous,,,,,,convex;flat;simple,convex;obtuse,,entire;flat,glabrous,0.5,1,80,2.50E+02,capitula,,tepals,,actinomorphic,unbranched;ovate,green,,,,monoecious,,,,,,,wind,,constricted,,ellipsoidal;ellipsoid;tapering;tapered;fusiform,brownish,,,,,bird,,,1,.,,,,,1;.,,30,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 6, 'tabular': 9}, 'fna': {'text': 18, 'tabular': 1}}"
Sparganium erectum,perennial;perennials;hydrophyte,Reedbeds normally without free-standing water,"Stem erect ;Emergent, attached to the substrate ;Submerged, attached to the substrate",Rhizome far creeping;epigeogeneous stems;hypogeogeneous stems,,0.5;0.375;1.5,glabrous,,,simple,,erect;alternate,linear;triangular;simple,triangular;obtuse,simple,entire;linear,glabrous,1,1.5,,,,,,,actinomorphic,,green,,,,monoecious,,,,,,,wind,,,,ellipsoidal;subglobose;tapered,brown,,,,,bird;water;domestic animal,,,80,10-100,,,,,,,,adventitious,shallow,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 14, 'tabular': 15}, 'fna': {'tabular': 0}}"
Stachys officinalis,perennial;perennials;hemicryptophyte,Mountain hay meadows,Stem erect ,Little or no vegetative spread;rhizome,rhizome;Stems,0.6;0.15;0.375; 0.15; 0.4,hairy,hairy,,,,,oblong;simple;ovate;obtuse,ovate;obtuse,cordate,crenate;ovate,hairy,3,7,3,7,spike,,,,,,red-purple,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   shaken fresh water;water;   commerce,,,4,01-Oct,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 13, 'tabular': 14}, 'fna': {'tabular': 0}}"
Stachys palustris,perennial;perennials;geophyte,Broadleaved deciduous woodland;Moist or wet tall-herb and fern fringes and meadows,Stem erect ,stem tubers;Rhizome far creeping;rhizomes,tubers;rhizomes;Stem;Stems,0.7; 0.4; 0.525;0.4;1.0,hairy;hispid;soft hairs,soft hairs,,,sessile,,lanceolate;linear;simple;serrate,subcordate;acute,subcordate;rounded,crenate;linear;serrate,soft hairs,0.5,12,0.5,12,spike,,,,,,pink-purple,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   shaken fresh water;water;   standing fresh water,,,4,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 14, 'tabular': 13}, 'fna': {'tabular': 0}}"
Stellaria alsine,perennial;helophyte,"Streamsides, flushes, wet tracks, ditches",,Seeds;Rhizome shortly creeping;creeping;rhizomatous,Stems;rhizomatous,0.4;0.1,glabrous,glabrous,,,sessile,,oblanceolate;elliptic;lanceolate;simple;cuneate,acute;cuneate,cuneate,entire;ciliate;elliptic;cuneate,glabrous,1,2;1.3,2;1,2;3,cymes,,,,,,white,,white,,hermaphrodite,10,,,,,,insect,,,,,,,,,,,,brown,,,0.3,0.4,0.3,0.4,,,24,,shallow,,"{'leda': {'tabular': 0}, 'ecoflora': {'text': 18, 'tabular': 13}, 'fna': {'text': 21, 'tabular': 1}}"
Stellaria graminea,perennial;perennials;hemicryptophyte,"Woodland fringes and clearings and tall forb habitats;Rough grasslands, pastures, hayfields, roadsides;Dry heaths;Grassland and tall forb habitats;Dry grasslands;Weathered rock and outcrop habitats;Broadleaved deciduous woodland;Coniferous woodland",Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;rhizomes;epigeogeneous stems;rhizomatous;Rhizome shortly creeping;Seeds,Stems;rhizomes;rhizomatous,0.9;0.55; 0.2; 0.175;0.2,coarse;glabrous,glabrous,,,sessile,,lanceolate;linear;simple,acute,round,entire;ciliate;linear,glabrous;soft hairs,0.1;1.5,0.6;4,1.5,4,cyme;cymes,,,,,slender;branched,white,,white,,gynodioecious,10;10;0,,,,,,insect,,,,,,,,,,water;   sheep;   hay making machinery;   cattle;domestic animal;   shaken fresh water,,brown,,,1,1,1,1,,,39,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 19, 'tabular': 12}, 'fna': {'text': 23, 'tabular': 1}}"
Stellaria media,perennials;annuals;therophyte;annual,"Cultivated ground, waste places, open woodlands;Regularly or recently cultivated agricultural. horticultural and domestic habitats",Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;plant fragments of stem origin;Little or no vegetative spread;seed;Seeds,taproot;tap root;stems;Stems,0.4;0.05;0.225; 0.05,soft hairs,soft hairs,,,sessile,distal;proximal,elliptic;simple;ovate;acuminate;cuneate,acute;acuminate;ovate;cuneate,round;cuneate,elliptic;entire;ovate;acuminate;ciliate;cuneate,glabrous;soft hairs,0.3;0.2,2.5;2,0.5;0.3,2.5;4,cymes,,,,,,white,,white,,hermaphrodite,3,,,,,,insect,,,,,,,,,,   ant;   roe;   rabbit;bird;   pig;   sheep;water;   deer;   car or other vehicle;   goat;   hay making machinery;   seed contamination;   cattle;   horse;domestic animal;   shaken fresh water;   clothes and footwear;   erosion material,hairs,brown,17,01-Oct,0.9,1.3,0.9,1.3,,,40,taproot;tap root,,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 20, 'tabular': 16}, 'fna': {'text': 24, 'tabular': 1}}"
Stellaria palustris,perennial;perennials;helophyte,Hayfields and pastures subject to seasonal flooding;Cultivated areas of gardens and parks,Stem erect ,Rhizome shortly creeping;rooting horizontal stems at or above soil surface;Seeds;rhizomes,stems;rhizomes;Stems,0.6;0.4; 0.2;0.2,glabrous,glabrous,,,sessile,,lanceolate;linear;simple;cuneate,acute;cuneate,cuneate,entire;linear;cuneate,glabrous,0.1,0.4,1.5,5,cyme;cymes,,,,,,white,,white,,hermaphrodite,10;10;3;.,,,,,,insect,,,,,,,,,,water,,brown,27,10-100,1.2,1.4,1.2,1.4,,,1.30E+02,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 14}, 'fna': {'text': 21, 'tabular': 1}}"
Succisa pratensis,perennial;perennials;hemicryptophyte,Grassland and tall forb habitats,Stem erect ,Little or no vegetative spread;epigeogeneous stems,stem;Stem,1.0;0.15;0.575; 0.3; 0.15,subglabrous,subglabrous,,,,Basal;rosette;basal,simple;lanceolate;obovate;obtuse,acute;obtuse,,entire,hairy;glabrous,,,,,,,,,,,mauve,,,,gynodioecious,,,,,,,insect,,,,,,,,,,   ant;water;   sheep;   cattle;   shaken fresh water;   standing fresh water;   commerce,bristle,,,,,,,,,,,tap root,shallow,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 8, 'tabular': 14}, 'fna': {'tabular': 0}}"
Symphytum officinale,perennial;perennials;hemicryptophyte,Moist or wet eutrophic and mesotrophic grassland,Stem erect ,root-splitters;Little or no vegetative spread,Stems,1.2;0.3;0.75; 0.3; 0.65,hispid;stiff hairs,stiff hairs,,,decurrent,,decurrent;lanceolate;ovate;simple;oblong,acute;ovate,,entire;ovate,soft hairs,15,25,15,25,cyme,,,,,,purple,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   ant;   commerce;   shaken fresh water,bristles;hairs,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 13, 'tabular': 12}, 'fna': {'tabular': 0}}"
Taraxacum officinale,Perennial;hemicryptophyte,"Often damp low places, lawns, roadsides, waste grounds, disturbed banks and shores",,root-splitters;adventitious buds on roots;buds,taproots;Stems,0.02;0.4;0.3,hairy,hairy,,,,horizontal;laterals;terminals;erect;distal,oblanceolate;obovate;obtuse;lanceolate;simple;lobed;attenuate;acuminate;oblong;triangular;cuneate,obtuse;lobed;acute;attenuate;acuminate;triangular;cuneate,attenuate;cuneate,runcinate;entire;lobed;lacerate;acuminate;cuneate,glabrous,1,10,5,45,,,,,,,yellow,,,,,,,,,,,none,,,,,,,,,,,pappi;pappus;hairs,,401,100-1000,,,,,,,24,taproots;tap root;adventitious,,,"{'leda': {'tabular': 1}, 'ecoflora': {'text': 6, 'tabular': 12}, 'fna': {'text': 15, 'tabular': 1}}"
Teesdalia nudicaulis,annuals;strict monocarpic bi-annuals and poly-annuals;therophyte;annual,"Sandy areas along trails, near beaches, pine clearings, waste grounds, fields, roadsides, gravelly slopes",Stem erect ,Seeds;Little or no vegetative spread,stem;stems;Stems,0.08;0.45;0.265; 0.035; 0.08;0.08-0.45,glabrous;soft hairs,soft hairs,,,,Basal;lateral;basal;rosette;terminal;erect;Cauline,oblanceolate;obovate;broader;simple;lobed;oblong;linear,lobed;obtuse,rounded,entire;linear;lobed,soft hairs,2.5;2,3.5;5,2;1.5,2;5,raceme,,,,zygomorphic,,white,,,,hermaphrodite,6,,tetradynamous,,,,insect,,,,emarginate;obovate;broader,,,,,,   shaken fresh water;water;   sheep;   cattle,filaments,brown,4,,0.9;1,1.2,0.9;1,1.2,,,36,tap root,shallow,0.0-10.0,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 21, 'tabular': 16}, 'fna': {'text': 18, 'tabular': 1}}"
Teucrium scorodonia,perennial;perennials;hemicryptophyte,,Stem erect ;Stem ascending to prostrate ,Rhizome far creeping;hypogeogeneous stems;rhizome,Stem;rhizome,0.225; 0.325; 0.15; 0.2; 0.25; 0.4;0.15;0.3,pubescent;soft hairs,soft hairs,,,,terminal,simple;ovate,acute;subacute;ovate,cordate,crenate;ovate,soft hairs,3,7,3,7,,,,,,,pale yellow-green,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,bird;   commerce,,,4,01-Oct,,,,,,,,adventitious,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 13, 'tabular': 15}, 'fna': {'tabular': 0}}"
Thalictrum alpinum,perennial;hemicryptophyte,"Wet meadows, damp rocky ledges and slopes, and cold (often calcareous) bogs in willow-sedge, lodgepole pine, and spruce-fir;Tundra",Stem erect ,stoloniferous;rhizomes;epigeogeneous stems;rhizomatous;Rhizome far creeping,stoloniferous;rhizomes;rhizomatous;stem;Stems,0.115; 0.08; 0.04;0.15;0.08;0.2,glabrous,glabrous,,pinnately,,cauline;basal;proximal,compound;lobed,acute;lobed,,crenate;lobed,glabrous,2,10,2,10,raceme,,,,,,cream,,,,hermaphrodite,8,,,02-Mar,,,wind,,,,,,,,,,water,filaments,,,01-Oct,,,,,,,14,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 9, 'tabular': 13}, 'fna': {'text': 13, 'tabular': 1}}"
Thalictrum flavum,perennial;perennials;hemicryptophyte,Moist or wet tall-herb and fern fringes and meadows;Reedbeds normally without free-standing water,Stem erect ,Little or no vegetative spread;hypogeogeneous stems;rhizomatous,stem;stems;rhizomatous,0.5;1.0;0.75; 0.55; 0.5,,,,tripinnate,sessile,,compound,acute,,lobed,,,,,,clusters,,,,,,whitish;yellow,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,   shaken fresh water;   commerce;   standing fresh water,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 7, 'tabular': 9}, 'fna': {'tabular': 0}}"
Thymus praecox,chamaephyte,Cultivated areas of gardens and parks;Basic and ultra-basic inland cliffs,mat;Stem ascending to prostrate ,Extensively creeping and rooting at nodes;root-splitters,stems,0.07,hairy,hairy,,,,,simple,obtuse,,entire,,,,,,,,,,,elongated,pink-purple,,,,gynodioecious,4,,,,,,insect,,,,,,,,,,   ant;domestic animal,hairs,,4,01-Oct,,,,,,,,adventitious,shallow,100,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 6, 'tabular': 16}, 'fna': {'tabular': 0}}"
Tofieldia pusilla,perennial;hemicryptophyte,"Tundra;Moist, open areas, often calcareous;Alpine and subalpine grasslands",Stem erect ,epigeogeneous stems;rhizomatous;Rhizome shortly creeping;Seeds;Rhizome,stem;Rhizome;Stems;rhizomatous,0.035; 0.03;0.05;0.015-0.3;0.2,glabrous,,,,,,simple,acute,,entire,glabrous,0.1;0.3,0.3;0.2,8;1.5,8;4,raceme,,tepals,,,,cream;yellowish;green;white,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   shaken fresh water;water,filaments,,,10-100,0.6,0.8,0.6,0.8,,,30,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 10, 'tabular': 11}, 'fna': {'text': 14, 'tabular': 1}}"
Trichophorum cespitosum,perennial;hemicryptophyte,"Open, wet, rocky or peaty meadows, fens, bogs, shores",,Tussock forming graminoid;rhizomes;Rhizomes,Stems;stem;rhizomes;Rhizomes,0.05;0.35000000000000003;0.05-0.35,,,,,,basal,absent,not applicable,,not applicable,,0.03,0.04,0.15,0.8,,,,,,,yellow brown;brown,,,,hermaphrodite,3,,,,,,wind,,,,,,,,,,,Bristles;awn;bristles,,,,2,2,2,2,,,1.00E+02,adventitious,deep,50.0-100.0,"{'leda': {'tabular': 0}, 'ecoflora': {'text': 10, 'tabular': 12}, 'fna': {'text': 10, 'tabular': 1}}"
Trientalis europaea,perennial;geophyte,"Shrub tundra;Arctic tundra, moist spruce forests, stream banks, moist open meadows, sphagnum bogs and swamps;Mixed taiga woodland with [Betula];Broadleaved deciduous woodland;Coniferous woodland",Stem erect ,rhizomes;hypogeogeneous stems;stem tubers;Seeds;Rhizome far creeping,stem;stems;rhizomes;Stems,0.25;0.175; 0.1; 0.125; 0.03;0.1-0.25;0.1;0.05-0.3,glabrous,glabrous,,,scalelike,whorled;distal;alternate;proximal,oblanceolate;elliptic;obovate;obtuse;spatulate;lanceolate;simple;cuneate,cuneate;acute;obtuse,rounded;cuneate,entire;serrulate;elliptic;cuneate,glabrous,0.1;1,8;2.6,1;0.2,8;6,,,,,,acuminate;elliptic;lanceolate;ovate,white,,,,hermaphrodite,,,,,,,insect,capsule,,,globose,,,,,,   shaken fresh water,filaments,,6,01-Oct,,,,,,,84,adventitious,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 17, 'tabular': 15}, 'fna': {'text': 15, 'tabular': 1}}"
